city,province
Alaminos,Pangasinan
Angeles,Pampanga
Antipolo,Rizal
Bacolod,Negros Occidental
Bacoor,Cavite
Bago,Negros Occidental
Baguio,Benguet
Bais,Negros Oriental
Balanga,Bataan
Batac,Ilocos Norte
Batangas City,Batangas
Bayawan,Negros Oriental
Baybay,Leyte
Bayugan,Agusan del Sur
Biñan,Laguna
Bislig,Surigao del Sur
Bogo,Cebu
Borongan,Eastern Samar
Butuan,Agusan del Norte
Cabadbaran,Agusan del Norte
Cabanatuan,Nueva Ecija
Cabuyao,Laguna
Cadiz,Negros Occidental
Cagayan de Oro,Misamis Oriental
Calamba,Laguna
Calapan,Oriental Mindoro
Calbayog,"Samar
(Western)"
Caloocan,-none- [vii]
Candon,Ilocos Sur
Canlaon,Negros Oriental
Carcar,Cebu
Catbalogan,"Samar
(Western)"
Cauayan,Isabela
Cavite City,Cavite
Cebu City,Cebu
Cotabato City,Maguindanao
Dagupan,Pangasinan
Danao,Cebu
Dapitan,Zamboanga del Norte
Dasmariñas,Cavite
Davao City,Davao del Sur
Digos,Davao del Sur
Dipolog,Zamboanga del Norte
Dumaguete,Negros Oriental
El Salvador,Misamis Oriental
Escalante,Negros Occidental
Gapan,Nueva Ecija
General Santos,South Cotabato
General Trias,Cavite
Gingoog,Misamis Oriental
Guihulngan,Negros Oriental
Himamaylan,Negros Occidental
Ilagan,Isabela
Iligan,Lanao del Norte
Iloilo City,Iloilo
Imus,Cavite
Iriga,Camarines Sur
Isabela,Basilan
Kabankalan,Negros Occidental
Kidapawan,"Cotabato
(North)"
Koronadal,South Cotabato
La Carlota,Negros Occidental
Lamitan,Basilan
Laoag,Ilocos Norte
Lapu‑Lapu,Cebu
Las Piñas,-none- [viii]
Legazpi,Albay
Ligao,Albay
Lipa,Batangas
Lucena,Quezon
Maasin,Southern Leyte
Mabalacat,Pampanga
Makati,-none- [viii]
Malabon,-none- [viii]
Malaybalay,Bukidnon
Malolos,Bulacan
Mandaluyong,-none- [viii]
Mandaue,Cebu
Manila,-none-
Marawi,Lanao del Sur
Marikina,-none- [viii]
Masbate City,Masbate
Mati,Davao Oriental
Meycauayan,Bulacan
Muñoz,Nueva Ecija
Muntinlupa,-none- [viii]
Naga,Camarines Sur
Naga,Cebu
Navotas,-none- [viii]
Olongapo,Zambales
Ormoc,Leyte
Oroquieta,Misamis Occidental
Ozamiz,Misamis Occidental
Pagadian,Zamboanga del Sur
Palayan,Nueva Ecija
Panabo,Davao del Norte
Parañaque,-none- [viii]
Pasay,-none- [vii]
Pasig,-none- [viii]
Passi,Iloilo
Puerto Princesa,Palawan
Quezon City,-none- [vii]
Roxas,Capiz
Sagay,Negros Occidental
Samal,Davao del Norte
San Carlos,Negros Occidental
San Carlos,Pangasinan
San Fernando,La Union
San Fernando,Pampanga
San Jose,Nueva Ecija
San Jose del Monte,Bulacan
San Juan,-none- [viii]
San Pablo,Laguna
San Pedro,Laguna
Santo Tomas,Batangas
Santa Rosa,Laguna
Santiago,Isabela
Silay,Negros Occidental
Sipalay,Negros Occidental
Sorsogon City,Sorsogon
Surigao City,Surigao del Norte
Tabaco,Albay
Tabuk,Kalinga
Tacloban,Leyte
Tacurong,Sultan Kudarat
Tagaytay,Cavite
Tagbilaran,Bohol
Taguig,-none- [viii]
Tagum,Davao del Norte
Talisay,Cebu
Talisay,Negros Occidental
Tanauan,Batangas
Tandag,Surigao del Sur
Tangub,Misamis Occidental
Tanjay,Negros Oriental
Tarlac City,Tarlac
Tayabas,Quezon
Toledo,Cebu
Trece Martires,Cavite
Tuguegarao,Cagayan
Urdaneta,Pangasinan
Valencia,Bukidnon
Valenzuela,-none- [xiii]
Victorias,Negros Occidental
Vigan,Ilocos Sur
Zamboanga City,Zamboanga del Sur [ii]